Fecha,Duración media de la sesión,Búsquedas orgánicas,Rebotes,Salidas,Usuarios nuevos,Sesiones,Valor medio de pedido,Tasa de conversión de comercio electrónico,Número de unidades agregadas al carrito,Valor por sesión,Número de veces que el producto que ha retirado del carrito,Transacciones,Porcentaje compra/detalle,Porcentaje carrito/detalle,Ingresos,CTR de la lista de productos,Clics de la lista de productos,Sesiones con búsquedas,Sesiones con evento,Número de pagos de productos,Páginas/sesión,Cantidad,Compras Redsys,Compras Paypal
20170518,0:02:24,437,229,3161,2130,3188,"28,59 ","0,97 ",339,"0,28 ",144,31,"1,59 ","11,90 ","886,27 ","3,46 ",3281,6,2927,259,"3,6",45,"0,00 ","0,00 "
20170612,0:02:33,437,188,1633,893,1649,"33,06 ","2,24 ",280,"0,74 ",74,37,"4,07 ","14,38 ","1.223,29 ","3,18 ",1452,6,1435,263,"3,58",71,"0,00 ","0,00 "
20170411,0:02:28,434,144,1834,1123,1852,"28,62 ","1,35 ",229,"0,39 ",71,25,"1,89 ","12,70 ","715,41 ","2,74 ",1774,4,1692,156,"3,61",33,"200,00 ","166,67 "
20170417,0:02:29,434,196,1638,881,1648,"43,23 ","1,09 ",216,"0,47 ",78,18,"2,29 ","11,83 ","778,06 ","2,48 ",1186,4,1422,189,"3,44",42,"200,00 ","200,00 "
20170503,0:02:19,434,219,1864,1082,1884,"39,16 ","1,27 ",237,"0,50 ",58,24,"2,43 ","12,10 ","939,91 ","3,38 ",1979,4,1648,216,"3,5",49,"400,00 ","200,00 "
20171120,0:01:48,433,732,2326,1216,2339,"35,70 ","2,14 ",267,"0,76 ",83,50,"3,94 ","13,14 ","1.784,82 ","2,28 ",1177,9,1560,259,"2,78",82,"130,00 ","100,00 "
20180319,0:02:37,433,117,1277,717,1289,"56,57 ","1,47 ",276,"0,83 ",52,19,"2,37 ","14,78 ","1.074,75 ","2,44 ",1143,7,1151,213,"3,68",55,"90,00 ","70,00 "
20170607,0:02:50,432,201,1895,1004,1907,"24,14 ","1,99 ",255,"0,48 ",88,38,"2,83 ","12,95 ","917,33 ","3,12 ",1753,14,1679,289,"3,71",53,"0,00 ","0,00 "
20171006,0:02:13,432,224,1586,874,1602,"35,92 ","1,00 ",148,"0,36 ",48,16,"1,59 ","8,55 ","574,71 ","2,52 ",1335,6,1354,136,"3,45",27,"171,43 ","71,43 "
20170828,0:02:06,431,132,1285,757,1297,"35,76 ","1,39 ",201,"0,50 ",53,18,"2,07 ","14,80 ","643,63 ","2,18 ",913,7,1148,168,"3,38",26,"109,09 ","63,64 "
20170502,0:02:38,430,109,1130,646,1139,"44,36 ","1,58 ",117,"0,70 ",41,18,"2,73 ","9,60 ","798,40 ","2,80 ",1000,7,1004,259,"3,66",33,"109,09 ","27,27 "
20161013,0:02:48,429,186,2057,1265,2074,"50,92 ","1,35 ",197,"0,69 ",64,28,"2,64 ","8,38 ","1.425,84 ","3,08 ",1912,17,1854,213,"4,03",62,"68,42 ","36,84 "
20171115,0:02:14,427,331,2011,1103,2025,"38,53 ","1,83 ",286,"0,70 ",100,37,"2,86 ","12,48 ","1.425,71 ","2,74 ",1496,8,1640,258,"3,34",67,"188,89 ","122,22 "
20170614,0:02:19,424,228,3855,2554,3882,"24,31 ","2,06 ",511,"0,50 ",172,80,"2,95 ","13,35 ","1.944,49 ","5,48 ",5138,15,3612,371,"3,64",113,"0,00 ","0,00 "
20171210,0:01:35,422,234,1510,750,1518,"35,51 ","0,72 ",119,"0,26 ",46,11,"1,19 ","7,20 ","390,66 ","1,86 ",787,4,1266,67,"2,76",17,"175,00 ","100,00 "
20170909,0:02:33,420,105,953,525,961,"32,30 ","0,83 ",134,"0,27 ",64,8,"1,00 ","12,14 ","258,40 ","2,22 ",782,1,851,81,"3,65",12,"400,00 ","600,00 "
20170601,0:02:38,418,277,2233,1455,2250,"29,81 ","1,42 ",232,"0,42 ",113,32,"2,78 ","12,37 ","953,88 ","2,72 ",2003,12,1934,207,"3,82",53,"0,00 ","0,00 "
20170922,0:02:27,418,227,1620,935,1640,"32,79 ","1,28 ",184,"0,42 ",44,21,"1,61 ","9,11 ","688,65 ","2,42 ",1215,8,1391,172,"3,35",27,"212,50 ","37,50 "
20170923,0:02:12,418,146,1134,640,1145,"35,21 ","1,48 ",142,"0,52 ",52,17,"2,28 ","12,66 ","598,65 ","2,12 ",870,6,983,97,"3,48",27,"200,00 ","57,14 "
20171007,0:02:46,418,157,1163,604,1175,"41,26 ","2,38 ",187,"0,98 ",87,28,"3,72 ","14,72 ","1.155,16 ","2,28 ",996,4,998,311,"3,74",49,"400,00 ","220,00 "
